Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
1/4/19,30/04/2019,N/A,UNI,Upper North Island,920.095
1/4/19,30/04/2019,N/A,CNI,Central North Island,700.318
1/4/19,30/04/2019,N/A,LNI,Lower North Island,441.808
1/4/19,30/04/2019,N/A,USI,Upper South Island,465.166
1/4/19,30/04/2019,N/A,LSI,Lower South Island,758.916
1/5/19,31/05/2019,N/A,UNI,Upper North Island,1017.034
1/5/19,31/05/2019,N/A,CNI,Central North Island,739.801
1/5/19,31/05/2019,N/A,LNI,Lower North Island,476.747
1/5/19,31/05/2019,N/A,USI,Upper South Island,508.416
1/5/19,31/05/2019,N/A,LSI,Lower South Island,785.993
1/6/19,30/06/2019,N/A,UNI,Upper North Island,1074.397
1/6/19,30/06/2019,N/A,CNI,Central North Island,740.538
1/6/19,30/06/2019,N/A,LNI,Lower North Island,510.827
1/6/19,30/06/2019,N/A,USI,Upper South Island,551.472
1/6/19,30/06/2019,N/A,LSI,Lower South Island,767.345
1/7/19,31/07/2019,N/A,UNI,Upper North Island,1130.645
1/7/19,31/07/2019,N/A,CNI,Central North Island,784.431
1/7/19,31/07/2019,N/A,LNI,Lower North Island,528.333
1/7/19,31/07/2019,N/A,USI,Upper South Island,555.743
1/7/19,31/07/2019,N/A,LSI,Lower South Island,794.097
1/8/19,31/08/2019,N/A,UNI,Upper North Island,1154.287
1/8/19,31/08/2019,N/A,CNI,Central North Island,799.707
1/8/19,31/08/2019,N/A,LNI,Lower North Island,545.048
1/8/19,31/08/2019,N/A,USI,Upper South Island,565.05
1/8/19,31/08/2019,N/A,LSI,Lower South Island,818.69
1/9/19,30/09/2019,N/A,UNI,Upper North Island,1029.335
1/9/19,30/09/2019,N/A,CNI,Central North Island,744.813
1/9/19,30/09/2019,N/A,LNI,Lower North Island,495.625
1/9/19,30/09/2019,N/A,USI,Upper South Island,506.941
1/9/19,30/09/2019,N/A,LSI,Lower South Island,778.343
1/10/19,31/10/2019,N/A,UNI,Upper North Island,1008.665
1/10/19,31/10/2019,N/A,CNI,Central North Island,728.518
1/10/19,31/10/2019,N/A,LNI,Lower North Island,483.695
1/10/19,31/10/2019,N/A,USI,Upper South Island,492.549
1/10/19,31/10/2019,N/A,LSI,Lower South Island,802.989
1/11/19,30/11/2019,N/A,UNI,Upper North Island,942.769
1/11/19,30/11/2019,N/A,CNI,Central North Island,666.81
1/11/19,30/11/2019,N/A,LNI,Lower North Island,426.481
1/11/19,30/11/2019,N/A,USI,Upper South Island,500.928
1/11/19,30/11/2019,N/A,LSI,Lower South Island,753.919
1/12/19,31/12/2019,N/A,UNI,Upper North Island,920.591
1/12/19,31/12/2019,N/A,CNI,Central North Island,681.056
1/12/19,31/12/2019,N/A,LNI,Lower North Island,419.287
1/12/19,31/12/2019,N/A,USI,Upper South Island,535.169
1/12/19,31/12/2019,N/A,LSI,Lower South Island,791.912
1/1/20,31/01/2020,N/A,UNI,Upper North Island,920.087
1/1/20,31/01/2020,N/A,CNI,Central North Island,683.055
1/1/20,31/01/2020,N/A,LNI,Lower North Island,423.22
1/1/20,31/01/2020,N/A,USI,Upper South Island,563.005
1/1/20,31/01/2020,N/A,LSI,Lower South Island,802.949
1/2/20,29/02/2020,N/A,UNI,Upper North Island,895.821
1/2/20,29/02/2020,N/A,CNI,Central North Island,664.891
1/2/20,29/02/2020,N/A,LNI,Lower North Island,405.624
1/2/20,29/02/2020,N/A,USI,Upper South Island,511.94
1/2/20,29/02/2020,N/A,LSI,Lower South Island,734.496
1/3/20,31/03/2020,N/A,UNI,Upper North Island,901.977
1/3/20,31/03/2020,N/A,CNI,Central North Island,682.957
1/3/20,31/03/2020,N/A,LNI,Lower North Island,428.51
1/3/20,31/03/2020,N/A,USI,Upper South Island,507.902
1/3/20,31/03/2020,N/A,LSI,Lower South Island,775.903
1/4/20,30/04/2020,N/A,UNI,Upper North Island,751.945
1/4/20,30/04/2020,N/A,CNI,Central North Island,576.109
1/4/20,30/04/2020,N/A,LNI,Lower North Island,395.831
1/4/20,30/04/2020,N/A,USI,Upper South Island,422.717
1/4/20,30/04/2020,N/A,LSI,Lower South Island,688.426
1/5/20,31/05/2020,N/A,UNI,Upper North Island,1000.167
1/5/20,31/05/2020,N/A,CNI,Central North Island,753.998
1/5/20,31/05/2020,N/A,LNI,Lower North Island,480.238
1/5/20,31/05/2020,N/A,USI,Upper South Island,515.856
1/5/20,31/05/2020,N/A,LSI,Lower South Island,758.282
1/6/20,30/06/2020,N/A,UNI,Upper North Island,1054.569
1/6/20,30/06/2020,N/A,CNI,Central North Island,729.042
1/6/20,30/06/2020,N/A,LNI,Lower North Island,513.888
1/6/20,30/06/2020,N/A,USI,Upper South Island,549.656
1/6/20,30/06/2020,N/A,LSI,Lower South Island,755.994
1/7/20,31/07/2020,N/A,UNI,Upper North Island,1151.366
1/7/20,31/07/2020,N/A,CNI,Central North Island,803.197
1/7/20,31/07/2020,N/A,LNI,Lower North Island,555.1
1/7/20,31/07/2020,N/A,USI,Upper South Island,588.287
1/7/20,31/07/2020,N/A,LSI,Lower South Island,787.307
1/8/20,31/08/2020,N/A,UNI,Upper North Island,1096.882
1/8/20,31/08/2020,N/A,CNI,Central North Island,794.717
1/8/20,31/08/2020,N/A,LNI,Lower North Island,531.827
1/8/20,31/08/2020,N/A,USI,Upper South Island,544.301
1/8/20,31/08/2020,N/A,LSI,Lower South Island,778.544
