Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
1/6/13,30/06/2013,N/A,LNI,Lower North Island,516.268
1/6/13,30/06/2013,N/A,USI,Upper South Island,529.777
1/6/13,30/06/2013,N/A,LSI,Lower South Island,726.92
1/7/13,31/07/2013,N/A,UNI,Upper North Island,1107.391
1/7/13,31/07/2013,N/A,CNI,Central North Island,765.116
1/7/13,31/07/2013,N/A,LNI,Lower North Island,536.86
1/7/13,31/07/2013,N/A,USI,Upper South Island,533.188
1/7/13,31/07/2013,N/A,LSI,Lower South Island,744.004
1/8/13,31/08/2013,N/A,UNI,Upper North Island,1070.919
1/8/13,31/08/2013,N/A,CNI,Central North Island,747.457
1/8/13,31/08/2013,N/A,LNI,Lower North Island,512.249
1/8/13,31/08/2013,N/A,USI,Upper South Island,509.206
1/8/13,31/08/2013,N/A,LSI,Lower South Island,741.958
1/9/13,30/09/2013,N/A,UNI,Upper North Island,1003.123
1/9/13,30/09/2013,N/A,CNI,Central North Island,708.623
1/9/13,30/09/2013,N/A,LNI,Lower North Island,489.97
1/9/13,30/09/2013,N/A,USI,Upper South Island,472.165
1/9/13,30/09/2013,N/A,LSI,Lower South Island,734.347
1/10/13,31/10/2013,N/A,UNI,Upper North Island,957.65
1/10/13,31/10/2013,N/A,CNI,Central North Island,705.08
1/10/13,31/10/2013,N/A,LNI,Lower North Island,469.452
1/10/13,31/10/2013,N/A,USI,Upper South Island,464.94
1/10/13,31/10/2013,N/A,LSI,Lower South Island,743.41
1/11/13,30/11/2013,N/A,UNI,Upper North Island,917.874
1/11/13,30/11/2013,N/A,CNI,Central North Island,669.29
1/11/13,30/11/2013,N/A,LNI,Lower North Island,429.08
1/11/13,30/11/2013,N/A,USI,Upper South Island,498.756
1/11/13,30/11/2013,N/A,LSI,Lower South Island,730.127
1/12/13,31/12/2013,N/A,UNI,Upper North Island,898.595
1/12/13,31/12/2013,N/A,CNI,Central North Island,670.433
1/12/13,31/12/2013,N/A,LNI,Lower North Island,422.402
1/12/13,31/12/2013,N/A,USI,Upper South Island,478.34
1/12/13,31/12/2013,N/A,LSI,Lower South Island,735.71
1/1/14,31/01/2014,N/A,UNI,Upper North Island,891.215
1/1/14,31/01/2014,N/A,CNI,Central North Island,673.924
1/1/14,31/01/2014,N/A,LNI,Lower North Island,421.3
1/1/14,31/01/2014,N/A,USI,Upper South Island,499.521
1/1/14,31/01/2014,N/A,LSI,Lower South Island,737.216
1/2/14,28/02/2014,N/A,UNI,Upper North Island,848.099
1/2/14,28/02/2014,N/A,CNI,Central North Island,619.534
1/2/14,28/02/2014,N/A,LNI,Lower North Island,396.906
1/2/14,28/02/2014,N/A,USI,Upper South Island,471.204
1/2/14,28/02/2014,N/A,LSI,Lower South Island,690.796
1/3/14,31/03/2014,N/A,UNI,Upper North Island,923.445
1/3/14,31/03/2014,N/A,CNI,Central North Island,682.797
1/3/14,31/03/2014,N/A,LNI,Lower North Island,445.3
1/3/14,31/03/2014,N/A,USI,Upper South Island,450.913
1/3/14,31/03/2014,N/A,LSI,Lower South Island,736.318
1/4/14,30/04/2014,N/A,UNI,Upper North Island,893.48
1/4/14,30/04/2014,N/A,CNI,Central North Island,661.117
1/4/14,30/04/2014,N/A,LNI,Lower North Island,436.327
1/4/14,30/04/2014,N/A,USI,Upper South Island,452.802
1/4/14,30/04/2014,N/A,LSI,Lower South Island,716.932
1/5/14,31/05/2014,N/A,UNI,Upper North Island,997.295
